Date,Open,High,Low,Close,Volume
Thu Feb 25 21:00:00 2021,47070.18,47610.68,46000.0,46839.0,465.03459182
Thu Feb 25 22:00:00 2021,46844.13,47552.16,46247.31,46372.16,370.36532954
Thu Feb 25 23:00:00 2021,46502.53,47784.0,46128.86,47363.94,306.59614391
Fri Feb 26 00:00:00 2021,47325.0,47649.0,46740.03,47357.13,190.74087784
Fri Feb 26 01:00:00 2021,47351.32,47791.42,46830.0,47006.33,156.17214164
Fri Feb 26 02:00:00 2021,47047.19,47205.0,45510.0,45536.51,313.27924354
Fri Feb 26 03:00:00 2021,45505.11,46493.88,45505.11,46080.97,325.9798713
Fri Feb 26 04:00:00 2021,46109.48,46416.16,44151.97,44928.36,768.50385418
Fri Feb 26 05:00:00 2021,44938.83,45963.55,44906.04,45678.08,524.99065999
Fri Feb 26 06:00:00 2021,45713.04,46627.86,45332.38,46426.48,282.04556452
Fri Feb 26 07:00:00 2021,46426.48,46917.05,46142.37,46733.1,196.21145603
Fri Feb 26 08:00:00 2021,46685.29,46847.02,45687.76,46432.47,297.27949916
Fri Feb 26 09:00:00 2021,46432.85,47275.88,46277.22,46817.01,368.96898683
Fri Feb 26 10:00:00 2021,46836.48,46984.87,45832.52,45907.9,299.27373746
Fri Feb 26 11:00:00 2021,45917.42,47450.0,45840.65,46900.0,522.72036912
Fri Feb 26 12:00:00 2021,46902.48,47878.91,46350.0,47651.72,521.69868681
Fri Feb 26 13:00:00 2021,47625.08,48257.08,47481.6,48129.89,249.12098521
Fri Feb 26 14:00:00 2021,48153.67,48476.62,47569.99,47675.02,215.80011446
Fri Feb 26 15:00:00 2021,47706.05,47896.56,47239.61,47309.17,267.44115643
Fri Feb 26 16:00:00 2021,47309.17,47452.83,46600.0,46900.0,434.19965759
Fri Feb 26 17:00:00 2021,46900.0,47091.3,46049.82,46239.5,229.86440984
Fri Feb 26 18:00:00 2021,46239.5,46865.0,45500.01,45680.19,205.51675569
Fri Feb 26 19:00:00 2021,45732.72,45988.87,45055.15,45519.36,375.24104762
Fri Feb 26 20:00:00 2021,45508.11,46465.0,45427.77,46314.83,239.18226801
Fri Feb 26 21:00:00 2021,46324.15,47576.46,46200.0,47539.11,208.55621337
Fri Feb 26 22:00:00 2021,47554.12,47941.81,47364.12,47755.43,169.04344938
Fri Feb 26 23:00:00 2021,47746.14,48023.27,47197.4,47350.15,158.29864707
Sat Feb 27 00:00:00 2021,47343.7,47911.98,47228.36,47424.12,103.519648
Sat Feb 27 01:00:00 2021,47444.71,47900.0,47282.24,47669.58,52.28892793
Sat Feb 27 02:00:00 2021,47656.72,47930.14,47438.83,47803.68,68.56584388
Sat Feb 27 03:00:00 2021,47829.0,48365.31,47526.56,47526.56,96.82631056
Sat Feb 27 04:00:00 2021,47529.05,47599.1,46889.26,47190.0,171.72987022
Sat Feb 27 05:00:00 2021,47184.39,47288.04,46384.65,46613.84,111.75329983
Sat Feb 27 06:00:00 2021,46527.38,46822.12,46238.31,46681.15,111.06335543
Sat Feb 27 07:00:00 2021,46615.82,47091.4,46615.82,46783.65,91.73704662
Sat Feb 27 08:00:00 2021,46830.0,47649.0,46733.77,47305.33,76.73381578
Sat Feb 27 09:00:00 2021,47293.05,47827.44,46757.19,47420.69,145.80922892
Sat Feb 27 10:00:00 2021,47471.18,47719.43,47100.0,47471.83,55.12411181
Sat Feb 27 11:00:00 2021,47455.71,47637.41,46864.96,47099.93,69.98884059
Sat Feb 27 12:00:00 2021,47073.96,47383.08,46370.84,46582.36,101.38131198
Sat Feb 27 13:00:00 2021,46586.18,46982.97,46314.0,46925.21,69.17964514
Sat Feb 27 14:00:00 2021,46914.56,47216.7,46765.13,47097.4,122.76772409
Sat Feb 27 15:00:00 2021,47097.4,47351.39,46932.28,47167.77,169.59438218
Sat Feb 27 16:00:00 2021,47152.0,47493.73,47080.8,47454.91,119.63795204
Sat Feb 27 17:00:00 2021,47461.89,47575.17,46920.1,47121.52,76.25608044
